"Reference","Value","Datasheet","Footprint","Qty","DNP","Link","Manufacturer","Manufacturer Number","Rated Voltage","Temperature Coefficient","Tolerance","Description"
"C1,C2","100nF","http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf","Capacitor_SMD:C_0402_1005Metric","2","","https://www.digikey.com/en/products/detail/walsin-technology-corporation/0402B104K160CT/6707534","Walson Technology Corporation","0402B104K160CT","16V","X7R","10%",""
"C3,C4","10uF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71E106KE15-01.pdf","Capacitor_SMD:C_0805_2012Metric","2","","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BZ71E106KE15L/13904911","Murata Electronics","GRM21BZ71E106KE15L","25V","X7R","",""
"C5","10nF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_23.pdf","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1","","https://www.digikey.com/en/products/detail/yageo/CC0402KPX7R8BB103/11490384","Yageo","CC0402KPX7R8BB103","25V","X7R","10%",""
"J1","Conn_01x01_Socket","n/a","MountingHole:MountingHole_3.2mm_M3_Pad_TopOnly","1","DNP","","","","","","","Generic connector, single row, 01x01, script generated"
"J2","Conn_01x06_Female","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf","Connector_JST:JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal","1","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM06B-SRSS-TB/926712","JST Sales America Inc.","SM06B-SRSS-TB","","","",""
"R1","100K","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","1","","https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526","Yageo","RC0402FR-07100KL","","","1%",""
"R3","100","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1","","https://www.digikey.com/en/products/detail/yageo/RT0402FRE07100RL/1071699","Yageo","RT0402FRE07100RL","","","1%",""
"U2","LTC6269xMS8E","https://www.analog.com/media/en/technical-documentation/data-sheets/62689f.pdf","Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm","1","","https://www.digikey.com/en/products/detail/analog-devices-inc/LTC6269IMS8E-PBF/5030347","Analog Devices Inc.","LTC6269IMS8E#PBF","","","","Dual 500MHz Ultra-Low Bias  Current FET Input Op Amps, MSOP-8"
